"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161018,2016-10-18,090741,CME ,00,090 ,  114055,   12761,   16789,    4672,   32550,    9980,    2654,   12652,   30973,   11502,    5312,    4113,    2279,   84382,   82963,   29673,   31092,   -6752,   -2630,   -1315,    1296,   -7101,     536,     858,   -1172,   -3579,     919,    -865,   -1162,     301,   -8395,   -2146,    1643,   -4606,  100.0,   11.2,   14.7,    4.1,   28.5,    8.8,    2.3,   11.1,   27.2,   10.1,    4.7,    3.6,    2.0,   74.0,   72.7,   26.0,   27.3,     85,      5,      5,      7,      8,     11,      5,     14,     27,     11,      8,      7,      5,     50,     63,    29.5,    19.9,    42.1,    31.4,    27.4,    19.8,    39.6,    29.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161011,2016-10-11,090741,CME ,00,090 ,  120807,   15391,   18104,    3376,   39651,    9444,    1796,   13824,   34552,   10583,    6177,    5275,    1978,   92777,   85109,   28030,   35698,   -5084,    -790,    1677,   -1063,   -3822,    -303,    -236,    2537,   -4177,   -3227,     295,    -485,    -336,   -6642,   -8150,    1558,    3066,  100.0,   12.7,   15.0,    2.8,   32.8,    7.8,    1.5,   11.4,   28.6,    8.8,    5.1,    4.4,    1.6,   76.8,   70.5,   23.2,   29.5,     83,      5,      5,      6,     10,      9,      4,     12,     24,     11,     11,      7,      5,     50,     59,    32.4,    18.5,    45.8,    31.2,    31.3,    18.3,    44.6,    29.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161004,2016-10-04,090741,CME ,00,090 ,  125891,   16181,   16427,    4440,   43473,    9747,    2032,   11287,   38729,   13810,    5882,    5760,    2314,   99419,   93259,   26472,   32632,    -181,    2080,    -795,      39,    3503,    -615,    -546,   -6539,     381,    1349,     115,    1242,     196,     197,    1249,    -378,   -1430,  100.0,   12.9,   13.0,    3.5,   34.5,    7.7,    1.6,    9.0,   30.8,   11.0,    4.7,    4.6,    1.8,   79.0,   74.1,   21.0,   25.9,     86,      5,      6,      8,      9,      8,      5,     12,     30,     17,     10,      6,      5,     57,     64,    34.4,    18.6,    46.6,    30.5,    33.6,    18.6,    45.4,    29.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",160927,2016-09-27,090741,CME ,00,090 ,  126072,   14101,   17223,    4401,   39970,   10362,    2578,   17826,   38348,   12461,    5766,    4518,    2118,   99222,   92009,   26850,   34063,  -28767,    4867,  -24098,  -10946,    -672,    -288,     114,  -23067,    1928,    1717,   -1150,   -2538,     827,  -28309,  -33284,    -458,    4517,  100.0,   11.2,   13.7,    3.5,   31.7,    8.2,    2.0,   14.1,   30.4,    9.9,    4.6,    3.6,    1.7,   78.7,   73.0,   21.3,   27.0,     87,      5,      6,      8,      9,      9,      5,     19,     24,     15,      9,      6,      6,     61,     60,    30.6,    21.4,    42.8,    32.2,    29.7,    21.4,    41.7,    30.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",160920,2016-09-20,090741,CME ,00,090 ,  154839,    9234,   41321,   15347,   40641,   10650,    2465,   40893,   36421,   10744,    6916,    7056,    1291,  127531,  125293,   27308,   29546,   15032,    2653,   -8729,    7928,   -8339,    -192,     472,   13810,   13111,    1601,     429,     385,     117,   18672,   14693,   -3640,     339,  100.0,    6.0,   26.7,    9.9,   26.2,    6.9,    1.6,   26.4,   23.5,    6.9,    4.5,    4.6,    0.8,   82.4,   80.9,   17.6,   19.1,     86,      5,      6,      9,      9,     10,      5,     17,     25,     14,      9,      5,      5,     58,     61,    32.9,    37.6,    48.3,    46.5,    32.5,    35.4,    46.2,    43.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",160913,2016-09-13,090741,CME ,00,090 ,  139807,    6581,   50050,    7419,   48980,   10842,    1992,   27082,   23310,    9143,    6488,    6670,    1173,  108859,  110600,   30948,   29207,   -3784,    -466,   -8817,    1879,    -515,    1910,   -2460,    7134,    6177,   -5107,     527,     -26,   -1210,    -217,   -7654,   -3567,    3870,  100.0,    4.7,   35.8,    5.3,   35.0,    7.8,    1.4,   19.4,   16.7,    6.5,    4.6,    4.8,    0.8,   77.9,   79.1,   22.1,   20.9,     85,      4,      8,      8,     12,      9,      6,     17,     21,     16,      9,      5,      4,     60,     59,    32.8,    36.5,    45.2,    44.8,    32.2,    35.8,    43.9,    43.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",160906,2016-09-06,090741,CME ,00,090 ,  143591,    7047,   58867,    5540,   49495,    8932,    4452,   19948,   17134,   14249,    5961,    6696,    2383,  109076,  118254,   34515,   25337,    -131,     421,   -5283,    1356,   -5154,     198,    1731,   -1454,   -3196,    3705,     429,     168,     663,    1697,    -658,   -1828,     527,  100.0,    4.9,   41.0,    3.9,   34.5,    6.2,    3.1,   13.9,   11.9,    9.9,    4.2,    4.7,    1.7,   76.0,   82.4,   24.0,   17.6,     84,.,      8,      8,      8,      9,      6,     23,     17,     18,      8,      8,      6,     65,     57,    32.8,    40.0,    42.9,    49.5,    30.4,    39.8,    39.4,    48.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",160830,2016-08-30,090741,CME ,00,090 ,  143722,    6626,   64150,    4184,   54648,    8734,    2721,   21402,   20330,   10545,    5532,    6528,    1720,  107378,  118912,   36344,   24810,   -5239,     301,    3528,    -487,    -550,     164,   -1764,    -663,   -7182,     577,     -99,    -491,     -29,   -2715,   -5684,   -2524,     445,  100.0,    4.6,   44.6,    2.9,   38.0,    6.1,    1.9,   14.9,   14.1,    7.3,    3.8,    4.5,    1.2,   74.7,   82.7,   25.3,   17.3,     78,.,      8,      8,     10,      7,      5,     19,     19,     13,      8,      4,      4,     59,     49,    34.7,    43.4,    46.3,    53.4,    33.3,    43.2,    43.8,    52.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",160823,2016-08-23,090741,CME ,00,090 ,  148961,    6326,   60622,    4671,   55199,    8570,    4485,   22065,   27512,    9968,    5630,    7019,    1750,  110093,  124596,   38868,   24365,    6909,    2404,    9562,    1001,   -1310,    -268,    -156,    2651,    -679,    -340,    -251,    -448,      94,    4095,    8767,    2814,   -1858,  100.0,    4.2,   40.7,    3.1,   37.1,    5.8,    3.0,   14.8,   18.5,    6.7,    3.8,    4.7,    1.2,   73.9,   83.6,   26.1,   16.4,     82,.,      7,      7,     11,      6,      5,     22,     19,     13,      7,      7,      4,     58,     53,    34.3,    41.3,    44.9,    50.9,    32.7,    41.1,    41.5,    50.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",160816,2016-08-16,090741,CME ,00,090 ,  142052,    3922,   51059,    3670,   56508,    8838,    4641,   19413,   28191,   10308,    5881,    7467,    1656,  105998,  115829,   36054,   26223,   12167,      34,    5395,     836,    3288,   -1363,    2556,   -2270,    5889,    2446,   -1033,      66,     453,    6310,   16278,    5857,   -4111,  100.0,    2.8,   35.9,    2.6,   39.8,    6.2,    3.3,   13.7,   19.8,    7.3,    4.1,    5.3,    1.2,   74.6,   81.5,   25.4,   18.5,     82,.,      6,      7,      9,      7,      5,     24,     19,     12,      6,      8,      5,     58,     53,    38.0,    39.6,    47.7,    48.9,    35.8,    39.3,    44.2,    48.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",160809,2016-08-09,090741,CME ,00,090 ,  129885,    3888,   45664,    2833,   53221,   10201,    2085,   21683,   22302,    7862,    6914,    7400,    1203,   99689,   99551,   30196,   30334,   -2527,    1358,   -6596,    -538,    1872,     -99,    -649,      21,    3713,   -1786,    -399,    1678,     -58,    -179,   -4335,   -2348,    1808,  100.0,    3.0,   35.2,    2.2,   41.0,    7.9,    1.6,   16.7,   17.2,    6.1,    5.3,    5.7,    0.9,   76.8,   76.6,   23.2,   23.4,     84,.,      6,      8,      9,      8,      5,     18,     25,     12,      8,      7,      5,     56,     58,    37.8,    37.7,    49.9,    45.5,    37.0,    37.2,    47.6,    43.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",160802,2016-08-02,090741,CME ,00,090 ,  132412,    2529,   52260,    3371,   51349,   10300,    2734,   21662,   18589,    9648,    7313,    5723,    1261,   99868,  103886,   32544,   28526,   -2854,     832,   -4305,     416,   -1592,    2469,    -312,   -2227,     880,    -231,    -379,    1971,    -152,   -3645,     737,     791,   -3591,  100.0,    1.9,   39.5,    2.5,   38.8,    7.8,    2.1,   16.4,   14.0,    7.3,    5.5,    4.3,    1.0,   75.4,   78.5,   24.6,   21.5,     84,.,      6,      6,     10,      9,      6,     19,     22,     15,     10,      6,      6,     59,     58,    36.9,    39.7,    48.1,    48.2,    35.9,    39.5,    45.4,    47.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",160726,2016-07-26,090741,CME ,00,090 ,  135266,    1697,   56565,    2954,   52941,    7831,    3046,   23889,   17709,    9879,    7693,    3751,    1413,  103513,  103149,   31753,   32117,    2756,    1400,   -3533,    -431,    -556,      17,     700,    1271,     -59,     673,     512,     433,    -146,    3425,   -2346,    -669,    5102,  100.0,    1.3,   41.8,    2.2,   39.1,    5.8,    2.3,   17.7,   13.1,    7.3,    5.7,    2.8,    1.0,   76.5,   76.3,   23.5,   23.7,     84,.,      6,      6,     10,      8,      6,     21,     23,     17,      9,      6,      6,     63,     56,    36.5,    40.6,    47.3,    49.4,    35.7,    40.3,    45.0,    47.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",160719,2016-07-19,090741,CME ,00,090 ,  132510,     297,   60099,    3385,   53497,    7814,    2347,   22618,   17767,    9206,    7180,    3319,    1559,  100088,  105494,   32422,   27016,    3553,     253,    4976,    -257,    2926,     160,     468,     -33,   -1675,   -1144,    -639,    -670,     545,    2120,    2402,    1433,    1151,  100.0,    0.2,   45.4,    2.6,   40.4,    5.9,    1.8,   17.1,   13.4,    6.9,    5.4,    2.5,    1.2,   75.5,   79.6,   24.5,   20.4,     83,.,      7,      7,     11,      9,      6,     20,     21,     16,      8,      6,      6,     62,     56,    37.3,    43.6,    47.4,    52.3,    36.4,    43.3,    45.5,    50.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",160712,2016-07-12,090741,CME ,00,090 ,  128957,      44,   55122,    3642,   50570,    7654,    1878,   22651,   19443,   10350,    7819,    3989,    1014,   97968,  103092,   30989,   25865,   -3963,      43,    2654,    -103,   -2078,    -553,      55,     142,   -6157,      -3,    -779,     -93,    -145,   -2868,   -4345,   -1095,     382,  100.0,    0.0,   42.7,    2.8,   39.2,    5.9,    1.5,   17.6,   15.1,    8.0,    6.1,    3.1,    0.8,   76.0,   79.9,   24.0,   20.1,     87,.,      7,      7,     11,      8,      6,     21,     23,     17,      9,      7,      6,     65,     58,    36.0,    41.4,    46.1,    50.5,    35.2,    41.2,    44.6,    49.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",160705,2016-07-05,090741,CME ,00,090 ,  132920,       1,   52469,    3745,   52648,    8207,    1823,   22509,   25600,   10353,    8599,    4081,    1158,  100836,  107437,   32084,   25483,     249,      -2,    3037,    -820,    1916,   -1851,    -327,    1275,    -365,   -2612,    -840,     776,     -69,   -1478,   -2230,    1727,    2479,  100.0,    0.0,   39.5,    2.8,   39.6,    6.2,    1.4,   16.9,   19.3,    7.8,    6.5,    3.1,    0.9,   75.9,   80.8,   24.1,   19.2,     81,.,      8,      6,     11,      9,      6,     17,     20,     15,      9,      6,      5,     57,     56,    37.0,    37.8,    46.8,    47.8,    36.3,    37.7,    45.9,    47.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",160628,2016-06-28,090741,CME ,00,090 ,  132671,       3,   49432,    4564,   50732,   10058,    2151,   21234,   25965,   12964,    9438,    3305,    1227,  102314,  109667,   30357,   23004,   -2992,    -145,    1379,     231,    3356,     -23,    -418,   -3951,   -6003,     588,     317,     552,    -264,    -286,   -3958,   -2706,     966,  100.0,    0.0,   37.3,    3.4,   38.2,    7.6,    1.6,   16.0,   19.6,    9.8,    7.1,    2.5,    0.9,   77.1,   82.7,   22.9,   17.3,     85,.,      9,      7,     11,     10,      8,     18,     21,     17,     10,      5,      5,     62,     60,    33.4,    37.2,    44.7,    46.3,    32.6,    37.0,    43.8,    44.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
